,측정일자,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
0,2018-05-04,중구,35,15
1,2018-05-04,종로구,37,15
2,2018-05-04,용산구,37,16
3,2018-05-04,은평구,47,21
4,2018-05-04,서대문구,51,19
5,2018-05-04,마포구,54,15
6,2018-05-04,광진구,43,14
7,2018-05-04,성동구,49,20
8,2018-05-04,중랑구,36,15
9,2018-05-04,동대문구,38,15
10,2018-05-04,성북구,51,18
11,2018-05-04,도봉구,49,13
12,2018-05-04,강북구,37,11
13,2018-05-04,노원구,41,14
14,2018-05-04,강서구,41,14
15,2018-05-04,구로구,49,13
16,2018-05-04,영등포구,55,21
17,2018-05-04,동작구,41,15
18,2018-05-04,관악구,51,20
19,2018-05-04,금천구,42,15
20,2018-05-04,양천구,36,15
21,2018-05-04,강남구,36,16
22,2018-05-04,서초구,48,15
23,2018-05-04,송파구,50,20
24,2018-05-04,강동구,48,21
25,2018-05-05,중구,36,17
26,2018-05-05,종로구,34,17
27,2018-05-05,용산구,35,19
28,2018-05-05,은평구,45,23
29,2018-05-05,서대문구,45,21
30,2018-05-05,마포구,45,18
31,2018-05-05,광진구,41,15
32,2018-05-05,성동구,49,24
33,2018-05-05,중랑구,33,18
34,2018-05-05,동대문구,34,19
35,2018-05-05,성북구,47,23
36,2018-05-05,도봉구,41,17
37,2018-05-05,강북구,37,15
38,2018-05-05,노원구,41,18
39,2018-05-05,강서구,35,17
40,2018-05-05,구로구,43,16
41,2018-05-05,영등포구,49,25
42,2018-05-05,동작구,38,18
43,2018-05-05,관악구,48,23
44,2018-05-05,금천구,40,18
45,2018-05-05,양천구,33,18
46,2018-05-05,강남구,32,18
47,2018-05-05,서초구,42,18
48,2018-05-05,송파구,46,23
49,2018-05-05,강동구,43,18
50,2018-05-06,중구,13,9
51,2018-05-06,종로구,12,8
52,2018-05-06,용산구,10,8
53,2018-05-06,은평구,14,13
54,2018-05-06,서대문구,14,9
55,2018-05-06,마포구,14,11
56,2018-05-06,광진구,14,7
57,2018-05-06,성동구,16,12
58,2018-05-06,중랑구,10,7
59,2018-05-06,동대문구,11,8
60,2018-05-06,성북구,18,13
61,2018-05-06,도봉구,12,6
62,2018-05-06,강북구,11,6
63,2018-05-06,노원구,17,9
64,2018-05-06,강서구,11,8
65,2018-05-06,구로구,11,6
66,2018-05-06,영등포구,17,13
67,2018-05-06,동작구,15,7
68,2018-05-06,관악구,18,11
69,2018-05-06,금천구,15,9
70,2018-05-06,양천구,14,9
71,2018-05-06,강남구,11,8
72,2018-05-06,서초구,13,6
73,2018-05-06,송파구,15,10
74,2018-05-06,강동구,16,9
75,2018-05-18,종로구,10,4
76,2018-05-18,중구,16,6
77,2018-05-18,용산구,6,2
78,2018-05-18,성동구,10,7
79,2018-05-18,광진구,7,3
