기간	자치구	동	인구	면적	인구밀도
2017	합계	합계	10,124,579	605.24	16,728
2017	종로구	소계	164,257	23.91	6,869
2017	종로구	사직동	9,717	1.23	7,900
2017	종로구	삼청동	3,097	1.49	2,079
2017	종로구	부암동	10,726	2.27	4,725
2017	종로구	평창동	19,163	8.87	2,160
2017	종로구	무악동	8,375	0.36	23,264
2017	종로구	교남동	10,363	0.35	29,609
2017	종로구	가회동	4,657	0.54	8,624
2017	종로구	종로1.2.3.4가동	8,592	2.35	3,656
2017	종로구	종로5·6가동	5,690	0.6	9,483
2017	종로구	이화동	8,752	0.78	11,221
2017	종로구	창신1동	6,285	0.31	20,274
2017	종로구	창신2동	10,274	0.26	39,515
2017	종로구	창신3동	7,526	0.23	32,722
2017	종로구	숭인1동	6,865	0.23	29,848
2017	종로구	숭인2동	10,140	0.35	28,971
2017	종로구	청운효자동	13,606	2.57	5,294
2017	종로구	혜화동	20,429	1.12	18,240
2017	중구	소계	134,593	9.96	13,514
2017	중구	소공동	2,787	0.95	2,934
2017	중구	회현동	5,953	0.84	7,087
2017	중구	명동	3,469	0.99	3,504
2017	중구	필동	4,885	1.14	4,285
2017	중구	장충동	5,648	1.36	4,153
2017	중구	광희동	5,875	0.74	7,939
2017	중구	을지로동	1,786	0.6	2,977
2017	중구	신당5동	9,830	0.39	25,205
2017	중구	황학동	13,095	0.33	39,682
2017	중구	중림동	11,575	0.48	24,115
2017	중구	신당동	9,544	0.55	17,353
2017	중구	다산동	15,399	0.51	30,194
2017	중구	약수동	18,400	0.48	38,333
2017	중구	청구동	14,999	0.34	44,115
2017	중구	동화동	11,348	0.26	43,646
2017	용산구	소계	244,444	21.87	11,179
2017	용산구	후암동	18,846	0.86	21,914
2017	용산구	용산2가동	12,355	1.96	6,304
2017	용산구	남영동	8,585	1.19	7,214
2017	용산구	원효로2동	15,233	0.71	21,455
2017	용산구	효창동	9,594	0.44	21,805
2017	용산구	용문동	12,759	0.28	45,568
2017	용산구	이촌1동	28,960	2.86	10,126
2017	용산구	이촌2동	9,229	1.22	7,565
2017	용산구	이태원1동	8,791	0.57	15,423
2017	용산구	이태원2동	11,014	0.86	12,807
2017	용산구	서빙고동	14,274	2.8	5,098
2017	용산구	보광동	16,541	0.71	23,297
2017	용산구	청파동	21,233	0.91	23,333
2017	용산구	원효로1동	15,266	0.59	25,875
2017	용산구	한강로동	18,059	2.9	6,227
2017	용산구	한남동	23,705	3.01	7,875
2017	성동구	소계	312,711	16.86	18,551
2017	성동구	왕십리2동	18,185	0.41	44,354
2017	성동구	마장동	24,193	1.06	22,824
2017	성동구	사근동	12,812	1.11	11,542
2017	성동구	행당1동	14,387	0.59	24,385
2017	성동구	행당2동	25,423	0.42	60,531
2017	성동구	응봉동	16,696	0.57	29,291
2017	성동구	금호1가동	13,191	0.46	28,676
2017	성동구	금호4가동	14,452	0.84	17,205
2017	성동구	성수1가1동	17,676	1.98	8,927
2017	성동구	성수1가2동	16,413	0.89	18,442
2017	성동구	성수2가1동	18,783	1.18	15,918
2017	성동구	성수2가3동	12,056	1.03	11,705
2017	성동구	송정동	11,987	0.68	17,628
2017	성동구	용답동	16,687	2.32	7,193
2017	성동구	왕십리도선동	27,582	0.72	38,308
2017	성동구	금호2.3가동	24,735	0.64	38,648
2017	성동구	옥수동	27,453	1.95	14,078
2017	광진구	소계	372,298	17.06	21,819
2017	광진구	화양동	24,610	1.16	21,216
2017	광진구	군자동	21,980	0.74	29,703
2017	광진구	중곡1동	16,359	0.62	26,385
2017	광진구	중곡2동	22,808	0.55	41,469
2017	광진구	중곡3동	17,992	0.6	29,987
2017	광진구	중곡4동	31,618	2.32	13,628
2017	광진구	능동	11,838	1.1	10,762
2017	광진구	구의1동	23,396	0.56	41,779
2017	광진구	구의2동	25,936	1.39	18,659
2017	광진구	구의3동	30,483	1.02	29,885
2017	광진구	광장동	36,589	2.39	15,309
2017	광진구	자양1동	24,450	0.57	42,895
2017	광진구	자양2동	27,727	1.68	16,504
2017	광진구	자양3동	30,517	1.2	25,431
2017	광진구	자양4동	25,995	1.16	22,409
2017	동대문구	소계	366,011	14.22	25,748
2017	동대문구	회기동	12,521	0.76	16,475
2017	동대문구	휘경1동	14,589	0.63	23,157
2017	동대문구	휘경2동	25,205	1.05	24,005
2017	동대문구	청량리동	23,063	1.2	19,219
2017	동대문구	용신동	32,957	1.61	20,470
2017	동대문구	제기동	27,770	1.18	23,534
2017	동대문구	전농1동	29,916	1.19	25,139
2017	동대문구	전농2동	20,436	0.86	23,763
2017	동대문구	답십리1동	25,166	0.81	31,069
2017	동대문구	답십리2동	29,722	0.85	34,967
2017	동대문구	장안1동	39,593	1.25	31,674
2017	동대문구	장안2동	31,447	1.09	28,850
2017	동대문구	이문1동	31,172	1.04	29,973
2017	동대문구	이문2동	22,454	0.69	32,542
2017	중랑구	소계	412,780	18.5	22,318
2017	중랑구	면목2동	27,057	0.73	37,064
2017	중랑구	면목4동	21,098	1.11	19,007
2017	중랑구	면목5동	10,487	0.64	16,386
2017	중랑구	면목7동	22,707	0.87	26,100
2017	중랑구	상봉1동	25,960	0.85	30,541
2017	중랑구	상봉2동	18,645	0.68	27,419
2017	중랑구	중화1동	21,179	0.68	31,146
2017	중랑구	중화2동	28,723	0.98	29,309
2017	중랑구	묵1동	36,269	1.2	30,224
2017	중랑구	묵2동	20,443	0.7	29,204
2017	중랑구	망우3동	18,757	0.99	18,946
2017	중랑구	신내1동	41,561	2.53	16,427
2017	중랑구	신내2동	23,018	0.99	23,251
2017	중랑구	면목본동	36,780	1.01	36,416
2017	중랑구	면목3.8동	27,685	1.67	16,578
2017	중랑구	망우본동	32,411	2.88	11,254
2017	성북구	소계	455,407	24.57	18,533
2017	성북구	돈암1동	16,745	0.49	34,173
2017	성북구	돈암2동	25,269	0.48	52,644
2017	성북구	안암동	17,387	1.33	13,073
2017	성북구	보문동	17,260	0.56	30,821
2017	성북구	정릉1동	18,901	0.44	42,957
2017	성북구	정릉2동	24,495	1.17	20,936
